base,success,status,message,result_blocks,lambda_expected,lambda_linprog,lambda_diff,active_expected,active_linprog,active_match,max_mechanism_diff
zlamal5\zlamal5_4,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,4.412496,4.412494371531246,-1.6284687536227693e-06,9 32 57 82,9 32 57 82,True,2.726326520008371e-05
zlamal5\zlamal5_5,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),4,4.726543,4.72658144721177,3.844721176982091e-05,15 36 59 82,15 36 59 82,True,4.2061247636837606e-05
zlamal5\zlamal5_6,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),4,6.968151,6.968213431892145,6.243189214494294e-05,19 42 61 82,19 42 61 82,True,1.646398017451922e-05
zlamal5\zlamal5_7,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),4,4.971242,4.97125146836647,9.468366469533862e-06,2 23 46 65,2 23 46 65,True,3.725362118345288e-05
zlamal5\zlamal5_8,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,4.585462,4.585387929573611,-7.407042638885031e-05,2 25 50 71,2 25 50 71,True,8.640707337370657e-05
zlamal5\zlamal5_9,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,4.257859,4.257847325431164,-1.1674568836106403e-05,2 27 56 75,2 27 56 75,True,4.050829842849879e-05
zlamal6\zlamal6_1,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),4,8.639784,8.639899161732151,0.00011516173215042613,1 16 51 82,1 16 51 82,True,1.0618231303993753e-05
zlamal6\zlamal6_10,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,5.189006,5.175196058398979,-0.013809941601021336,2 29 60 79,2 27 60 79,False,5.793849
zlamal6\zlamal6_11,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,6.938573,6.938387939318747,-0.00018506068125301312,2 29 66 81,2 29 66 81,True,0.00014908872350893887
zlamal6\zlamal6_12,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),6,16.799305,16.79904062421694,-0.00026437578306115483,2 33 74 81,2 33 74 81,True,0.0001436256725497742
zlamal6\zlamal6_2,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),4,5.623779,5.623801628705831,2.262870583091825e-05,1 22 53 82,1 22 53 82,True,9.426382233002073e-06
zlamal6\zlamal6_3,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,4.398491,4.398534542159455,4.354215945490125e-05,5 26 55 82,5 26 55 82,True,1.7846625480544276e-05
zlamal6\zlamal6_4,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,4.391306,4.391285937793899,-2.006220610084597e-05,9 32 57 82,9 32 57 82,True,1.988077763392937e-05
zlamal6\zlamal6_5,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),4,4.694971,4.695198258141728,0.0002272581417281927,15 36 59 82,15 36 59 82,True,5.250890946140174e-05
zlamal6\zlamal6_6,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),5,6.891144,6.891328676912846,0.00018467691284662635,19 42 61 82,19 42 61 82,True,0.00037374647885712875
zlamal6\zlamal6_7,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),4,4.934947,4.934831793583493,-0.00011520641650708541,2 23 46 65,2 23 46 65,True,0.00012580081145863176
zlamal6\zlamal6_8,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,4.56108,4.561038838674603,-4.1161325396998905e-05,2 25 50 71,2 25 50 71,True,8.809904854745199e-06
zlamal6\zlamal6_9,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,4.240631,4.240584203706722,-4.679629327775103e-05,2 27 56 75,2 27 56 75,True,9.096460845992027e-05
zlamal7\zlamal7_1,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,2.210718,2.1892467171809082,-0.02147128281909172,1 14 61 82,1 14 65 82,False,3.890023
zlamal7\zlamal7_10,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,1.097378,1.0972346671339728,-0.00014333286602719042,2 17 62 75,2 17 62 75,True,6.432681553025787e-05
zlamal7\zlamal7_11,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,1.843191,1.8432111524812884,2.015248128839353e-05,2 17 68 79,2 17 68 79,True,5.8036070011979746e-06
zlamal7\zlamal7_12,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,3.362883,3.3474365998883258,-0.015446400111674308,2 21 74 81,2 19 74 81,False,4.29647
zlamal7\zlamal7_2,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,1.297185,1.2934009260802892,-0.0037840739197108064,5 20 65 82,7 20 65 82,False,2.725696
zlamal7\zlamal7_3,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,0.784276,0.7825992080246449,-0.0016767919753550853,9 26 65 82,11 26 65 82,False,2.047874
zlamal7\zlamal7_4,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,0.583931,0.5779219562346244,-0.006009043765375588,11 32 65 82,13 32 65 82,False,1.646584
zlamal7\zlamal7_5,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,0.455093,0.45533833568136295,0.0002453356813629237,15 36 65 82,15 36 65 82,True,0.00011411972536023995
zlamal7\zlamal7_6,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,0.471112,0.47130719782974173,0.0001951978297417556,17 42 65 82,17 42 65 82,True,0.00013492573852857959
zlamal7\zlamal7_7,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,0.431944,0.4318967840501829,-4.72159498171032e-05,2 17 46 67,2 17 46 67,True,3.2019370586056084e-05
zlamal7\zlamal7_8,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,0.52593,0.526023927799364,9.392779936401308e-05,2 17 50 69,2 17 50 69,True,1.4469121055959988e-05
zlamal7\zlamal7_9,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,0.716116,0.7161809821351014,6.498213510142126e-05,2 17 56 71,2 17 56 71,True,5.263777232311639e-06
